RoundID: 2021-08-18-06-30-06_-_kit_carson
CourseID: kit_carson
CourseName: Kit Carson
Notes: 

hole,tee,pin,par,lat,lon,disc
1,reg,B,3,33.079341,-117.058583,FLIPPER
1,reg,B,3,33.079955,-117.057620,JUDY
1,reg,B,3,33.080097,-117.057589,JUDY
1,reg,B,3,33.080095,-117.057603,BASKET
2,reg,C,3,33.079676,-117.057618,FLIPPER
2,reg,C,3,33.079081,-117.057580,JUDY
2,reg,C,3,33.078751,-117.057578,JUDY
2,reg,C,3,33.078603,-117.057564,JUDY
2,reg,C,3,33.078599,-117.057485,BASKET
3,reg,A,3,33.079355,-117.057288,FLIPPER
3,reg,A,3,33.080423,-117.057222,JUDY
3,reg,A,3,33.080303,-117.057418,JUDY
3,reg,A,3,33.080317,-117.057442,BASKET
4,reg,A,3,33.080419,-117.057765,BARELY_KNOW_HER
4,reg,A,3,33.079915,-117.058463,JUDY
4,reg,A,3,33.079828,-117.058467,BASKET
5,reg,A,3,33.079305,-117.059316,BARELY_KNOW_HER
5,reg,A,3,33.079109,-117.060095,JUDY
5,reg,A,3,33.079140,-117.060185,BASKET
6,reg,A,3,33.080816,-117.061106,BARELY_KNOW_HER
6,reg,A,3,33.081054,-117.061069,JUDY
6,reg,A,3,33.081379,-117.061077,JUDY
6,reg,A,3,33.081402,-117.061125,BASKET
7,reg,A,3,33.081370,-117.060906,BARELY_KNOW_HER
7,reg,A,3,33.081809,-117.061010,JUDY
7,reg,A,3,33.082063,-117.061103,JUDY
7,reg,A,3,33.082092,-117.061044,BASKET
8,reg,A,3,33.082243,-117.061013,BARELY_KNOW_HER
8,reg,A,3,33.082670,-117.060825,JUDY
8,reg,A,3,33.082878,-117.060787,JUDY
8,reg,A,3,33.082890,-117.060774,JUDY
8,reg,A,3,33.082890,-117.060770,BASKET
9,reg,A,3,33.083486,-117.060999,BARELY_KNOW_HER
9,reg,A,3,33.083848,-117.061274,JUDY
9,reg,A,3,33.084097,-117.061291,JUDY
9,reg,A,3,33.084126,-117.061307,BASKET
10,reg,A,3,33.084455,-117.061342,BARELY_KNOW_HER
10,reg,A,3,33.083760,-117.061467,JUDY
10,reg,A,3,33.083734,-117.061638,JUDY
10,reg,A,3,33.083709,-117.061656,BASKET
11,reg,B,4,33.083426,-117.061863,FLIPPER
11,reg,B,4,33.084270,-117.061666,JUDY
11,reg,B,4,33.084606,-117.061809,JUDY
11,reg,B,4,33.084679,-117.061797,BASKET
12,reg,A,3,33.084670,-117.061963,BARELY_KNOW_HER
12,reg,A,3,33.084160,-117.062321,JUDY
12,reg,A,3,33.084068,-117.062303,JUDY
12,reg,A,3,33.084051,-117.062324,BASKET
13,reg,A,3,33.083715,-117.062250,FLIPPER
13,reg,A,3,33.082775,-117.061952,JUDY
13,reg,A,3,33.082782,-117.062002,BASKET
14,reg,A,3,33.082501,-117.061417,FLIPPER
14,reg,A,3,33.082029,-117.061334,JUDY
14,reg,A,3,33.081562,-117.061247,JUDY
14,reg,A,3,33.081491,-117.061267,BASKET
15,reg,A,3,33.081738,-117.061570,BARELY_KNOW_HER
15,reg,A,3,33.081145,-117.061741,JUDY
15,reg,A,3,33.081045,-117.061757,BASKET
16,reg,A,3,33.081176,-117.062135,BARELY_KNOW_HER
16,reg,A,3,33.080675,-117.062527,JUDY
16,reg,A,3,33.080516,-117.062520,BASKET
17,reg,A,3,33.080498,-117.062244,FLIPPER
17,reg,A,3,33.080102,-117.062367,JUDY
17,reg,A,3,33.079844,-117.062380,JUDY
17,reg,A,3,33.079835,-117.062358,BASKET
18,reg,A,3,33.079575,-117.062434,BARELY_KNOW_HER
18,reg,A,3,33.079343,-117.061378,JUDY
18,reg,A,3,33.079360,-117.061451,BASKET
