RoundID: 2021-08-17-07-54-13_-_kit_carson
CourseID: kit_carson
CourseName: Kit Carson
Notes: 

hole,tee,pin,par,lat,lon,disc
1,reg,B,3,33.079341,-117.058583,FLIPPER
1,reg,B,3,33.080077,-117.057631,JUDY
1,reg,B,3,33.080095,-117.057603,BASKET
2,reg,C,3,33.079676,-117.057618,FLIPPER
2,reg,C,3,33.078679,-117.057541,JUDY
2,reg,C,3,33.078603,-117.057473,JUDY
2,reg,C,3,33.078599,-117.057485,BASKET
3,reg,A,3,33.079355,-117.057288,FLIPPER
3,reg,A,3,33.080365,-117.057555,JUDY
3,reg,A,3,33.080319,-117.057433,JUDY
3,reg,A,3,33.080317,-117.057442,BASKET
4,reg,A,3,33.080419,-117.057765,FLIPPER
4,reg,A,3,33.079775,-117.058364,JUDY
4,reg,A,3,33.079869,-117.058426,BASKET
5,reg,A,3,33.079305,-117.059316,FLIPPER
5,reg,A,3,33.079086,-117.060213,JUDY
5,reg,A,3,33.079140,-117.060185,BASKET
6,reg,A,3,33.080816,-117.061106,FLIPPER
6,reg,A,3,33.081379,-117.061190,JUDY
6,reg,A,3,33.081408,-117.061136,JUDY
6,reg,A,3,33.081402,-117.061125,BASKET
7,reg,A,3,33.081409,-117.060896,FLIPPER
7,reg,A,3,33.082068,-117.061176,JUDY
7,reg,A,3,33.082081,-117.061044,JUDY
7,reg,A,3,33.082092,-117.061044,BASKET
8,reg,A,3,33.082243,-117.061013,FLIPPER
8,reg,A,3,33.082716,-117.060946,JUDY
8,reg,A,3,33.082912,-117.060765,JUDY
8,reg,A,3,33.082899,-117.060744,BASKET
9,reg,A,3,33.083486,-117.060999,FLIPPER
9,reg,A,3,33.084123,-117.061314,JUDY
9,reg,A,3,33.084126,-117.061307,BASKET
10,reg,A,3,33.084455,-117.061342,FLIPPER
10,reg,A,3,33.083638,-117.061608,JUDY
10,reg,A,3,33.083709,-117.061656,BASKET
11,reg,B,4,33.083426,-117.061863,FLIPPER
11,reg,B,4,33.084545,-117.061782,JUDY
11,reg,B,4,33.084660,-117.061813,JUDY
11,reg,B,4,33.084679,-117.061797,BASKET
12,reg,A,3,33.084670,-117.061963,JUDY
12,reg,A,3,33.084068,-117.062267,JUDY
12,reg,A,3,33.084051,-117.062315,JUDY
12,reg,A,3,33.084051,-117.062324,BASKET
13,reg,A,3,33.083715,-117.062250,FLIPPER
13,reg,A,3,33.082631,-117.062071,JUDY
13,reg,A,3,33.082806,-117.062018,JUDY
13,reg,A,3,33.082782,-117.062002,BASKET
14,reg,A,3,33.082548,-117.061303,FLIPPER
14,reg,A,3,33.081436,-117.061085,JUDY
14,reg,A,3,33.081501,-117.061273,JUDY
14,reg,A,3,33.081491,-117.061267,BASKET
15,reg,A,3,33.081738,-117.061570,FLIPPER
15,reg,A,3,33.081145,-117.061453,JUDY
15,reg,A,3,33.081028,-117.061724,JUDY
15,reg,A,3,33.081045,-117.061757,BASKET
16,reg,A,3,33.081176,-117.062135,FLIPPER
16,reg,A,3,33.080521,-117.062636,JUDY
16,reg,A,3,33.080525,-117.062513,JUDY
16,reg,A,3,33.080516,-117.062520,BASKET
17,reg,A,3,33.080498,-117.062244,FLIPPER
17,reg,A,3,33.079835,-117.062457,JUDY
17,reg,A,3,33.079834,-117.062368,JUDY
17,reg,A,3,33.079835,-117.062358,BASKET
18,reg,A,3,33.079575,-117.062434,FLIPPER
18,reg,A,3,33.079168,-117.061513,JUDY
18,reg,A,3,33.079320,-117.061605,JUDY
18,reg,A,3,33.079348,-117.061567,BASKET
