RoundID: 2021-08-18-07-58-04_-_kit_carson
CourseID: kit_carson
CourseName: Kit Carson
Notes: 

hole,tee,pin,par,lat,lon,disc
1,reg,B,3,33.079341,-117.058583,BARELY_KNOW_HER
1,reg,B,3,33.079933,-117.057748,JUDY
1,reg,B,3,33.080048,-117.057535,JUDY
1,reg,B,3,33.080095,-117.057603,BASKET
2,reg,C,3,33.079676,-117.057618,FLIPPER
2,reg,C,3,33.078914,-117.057519,FLIPPER
2,reg,C,3,33.078749,-117.057532,JUDY
2,reg,C,3,33.078633,-117.057539,FLIPPER
2,reg,C,3,33.078599,-117.057485,BASKET
3,reg,A,3,33.079355,-117.057288,FLIPPER
3,reg,A,3,33.080300,-117.057492,JUDY
3,reg,A,3,33.080317,-117.057442,BASKET
4,reg,A,3,33.080419,-117.057765,BARELY_KNOW_HER
4,reg,A,3,33.079819,-117.058460,JUDY
4,reg,A,3,33.079869,-117.058426,BASKET
5,reg,A,3,33.079305,-117.059316,FLIPPER
5,reg,A,3,33.079072,-117.060243,FLIPPER
5,reg,A,3,33.079079,-117.060226,JUDY
5,reg,A,3,33.079130,-117.060183,JUDY
5,reg,A,3,33.079140,-117.060185,BASKET
6,reg,A,3,33.080816,-117.061106,BARELY_KNOW_HER
6,reg,A,3,33.081325,-117.061164,JUDY
6,reg,A,3,33.081405,-117.061102,JUDY
6,reg,A,3,33.081402,-117.061125,BASKET
7,reg,A,3,33.081409,-117.060896,BARELY_KNOW_HER
7,reg,A,3,33.081802,-117.061020,JUDY
7,reg,A,3,33.082065,-117.060970,JUDY
7,reg,A,3,33.082092,-117.061044,BASKET
8,reg,A,3,33.082243,-117.061013,BARELY_KNOW_HER
8,reg,A,3,33.082775,-117.060846,JUDY
8,reg,A,3,33.082851,-117.060803,JUDY
8,reg,A,3,33.082899,-117.060744,BASKET
9,reg,A,3,33.083486,-117.060999,BARELY_KNOW_HER
9,reg,A,3,33.084114,-117.061288,JUDY
9,reg,A,3,33.084126,-117.061307,BASKET
10,reg,A,3,33.084455,-117.061342,FLIPPER
10,reg,A,3,33.083940,-117.061666,JUDY
10,reg,A,3,33.083730,-117.061614,JUDY
10,reg,A,3,33.083709,-117.061656,BASKET
11,reg,B,4,33.083426,-117.061863,UNDEFINED
11,reg,B,4,33.083979,-117.061650,FLIPPER
11,reg,B,4,33.084698,-117.061886,JUDY
11,reg,B,4,33.084679,-117.061797,BASKET
12,reg,A,3,33.084670,-117.061963,BARELY_KNOW_HER
12,reg,A,3,33.084057,-117.062315,JUDY
12,reg,A,3,33.084051,-117.062324,BASKET
13,reg,A,3,33.083715,-117.062250,FLIPPER
13,reg,A,3,33.082824,-117.062043,JUDY
13,reg,A,3,33.082782,-117.062002,BASKET
14,reg,A,3,33.082548,-117.061303,FLIPPER
14,reg,A,3,33.081622,-117.061141,JUDY
14,reg,A,3,33.081506,-117.061241,JUDY
14,reg,A,3,33.081491,-117.061267,BASKET
15,reg,A,3,33.081738,-117.061570,BARELY_KNOW_HER
15,reg,A,3,33.081168,-117.061715,JUDY
15,reg,A,3,33.081007,-117.061825,JUDY
15,reg,A,3,33.081045,-117.061757,BASKET
16,reg,A,3,33.081176,-117.062135,BARELY_KNOW_HER
16,reg,A,3,33.080539,-117.062551,JUDY
16,reg,A,3,33.080516,-117.062520,BASKET
17,reg,A,3,33.080498,-117.062244,FLIPPER
17,reg,A,3,33.079887,-117.062319,JUDY
17,reg,A,3,33.079835,-117.062358,BASKET
18,reg,A,3,33.079575,-117.062434,BARELY_KNOW_HER
18,reg,A,3,33.079253,-117.061413,JUDY
18,reg,A,3,33.079370,-117.061435,JUDY
18,reg,A,3,33.079348,-117.061567,BASKET
