RoundID: 2021-08-10-06-13-04_-_kit_carson
CourseID: kit_carson
CourseName: Kit Carson
Notes: 

hole,tee,pin,par,lat,lon,disc
1,reg,A,3,33.079341,-117.058583,FLIPPER
1,reg,A,3,33.079973,-117.057883,JUDY
1,reg,A,3,33.079947,-117.057800,BASKET
2,reg,A,3,33.079676,-117.057618,BARELY_KNOW_HER
2,reg,A,3,33.078944,-117.057828,JUDY
2,reg,A,3,33.078940,-117.057842,BASKET
3,reg,B,4,33.079355,-117.057288,FLIPPER
3,reg,B,4,33.080416,-117.057100,BUZZBUZZ
3,reg,B,4,33.080701,-117.057536,JUDY
3,reg,B,4,33.080684,-117.057442,BASKET
4,reg,B,4,33.080419,-117.057765,FLIPPER
4,reg,B,4,33.079645,-117.058337,BUZZBUZZ
4,reg,B,4,33.079439,-117.058868,JUDY
4,reg,B,4,33.079461,-117.058787,BASKET
5,reg,A,3,33.079305,-117.059316,BARELY_KNOW_HER
5,reg,A,3,33.079140,-117.060203,JUDY
5,reg,A,3,33.079140,-117.060185,BASKET
6,reg,A,3,33.080816,-117.061106,BARELY_KNOW_HER
6,reg,A,3,33.081365,-117.061128,JUDY
6,reg,A,3,33.081402,-117.061125,BASKET
7,reg,A,3,33.081409,-117.060896,BARELY_KNOW_HER
7,reg,A,3,33.081821,-117.061029,BUZZBUZZ
7,reg,A,3,33.081995,-117.061091,JUDY
7,reg,A,3,33.082092,-117.061044,BASKET
8,reg,A,3,33.082243,-117.061013,BARELY_KNOW_HER
8,reg,A,3,33.082945,-117.060760,JUDY
8,reg,A,3,33.082894,-117.060769,JUDY
8,reg,A,3,33.082899,-117.060744,BASKET
9,reg,A,3,33.083486,-117.060999,BARELY_KNOW_HER
9,reg,A,3,33.083915,-117.061269,JUDY
9,reg,A,3,33.084116,-117.061296,JUDY
9,reg,A,3,33.084126,-117.061307,BASKET
10,reg,A,3,33.084455,-117.061342,FLIPPER
10,reg,A,3,33.083658,-117.061615,JUDY
10,reg,A,3,33.083709,-117.061656,BASKET
11,reg,D,4,33.083426,-117.061863,FLIPPER
11,reg,D,4,33.083755,-117.061582,FLIPPER
11,reg,D,4,33.084580,-117.061338,FLIPPER
11,reg,D,4,33.084572,-117.061353,JUDY
11,reg,D,4,33.084843,-117.061516,JUDY
11,reg,D,4,33.084791,-117.061522,BASKET
12,reg,B,3,33.084670,-117.061963,BARELY_KNOW_HER
12,reg,B,3,33.083882,-117.062365,JUDY
12,reg,B,3,33.083934,-117.062239,JUDY
12,reg,B,3,33.083887,-117.062243,BASKET
13,reg,B,3,33.083715,-117.062250,BARELY_KNOW_HER
13,reg,B,3,33.082914,-117.061834,JUDY
13,reg,B,3,33.082887,-117.061800,BASKET
14,reg,A,3,33.082548,-117.061303,FLIPPER
14,reg,A,3,33.081368,-117.061402,JUDY
14,reg,A,3,33.081505,-117.061166,JUDY
14,reg,A,3,33.081455,-117.061249,JUDY
14,reg,A,3,33.081491,-117.061267,BASKET
15,reg,A,3,33.081738,-117.061570,BARELY_KNOW_HER
15,reg,A,3,33.081056,-117.061697,JUDY
15,reg,A,3,33.081064,-117.061770,JUDY
15,reg,A,3,33.081045,-117.061757,BASKET
16,reg,A,3,33.081176,-117.062135,FLIPPER
16,reg,A,3,33.080485,-117.062625,JUDY
16,reg,A,3,33.080498,-117.062521,JUDY
16,reg,A,3,33.080516,-117.062520,BASKET
17,reg,B,3,33.080498,-117.062244,FLIPPER
17,reg,B,3,33.079873,-117.062578,JUDY
17,reg,B,3,33.079912,-117.062570,BASKET
18,reg,B,3,33.079575,-117.062434,FLIPPER
18,reg,B,3,33.079341,-117.061433,JUDY
18,reg,B,3,33.079523,-117.061293,JUDY
18,reg,B,3,33.079511,-117.061291,BASKET
